"Script Line","Modality Vector","Visual Instructions","Prompt","Filename","Sound Design"
"Here is exactly why you need to explore AI much deeper than you think. (~3s)","Generative AI","A highly detailed, glowing futuristic neon neural network expanding like a deep ocean, vertical aspect ratio.","High contrast cinematic vertical portrait of a glowing futuristic neural network expanding like a deep ocean, dark aesthetic, neon blue.","01_hook_genai.jpg","Deep cinematic bass boom."
"Look back to the time when the internet boom happened. (~2s)","Stock B-Roll","Retro 90s computers, old CRT monitors.","retro 90s computers","02_internet_broll.mp4","Dial-up modem glitch sound."
"It caused a massive shift in how people and businesses operate. (~3s)","Stock B-Roll","Fast-paced business city timelapse.","city at night traffic time lapse","03_city_broll.mp4","City traffic whoosh."
"The folks who understood it early gained a massive advantage in multiple aspects. (~3s)","Faceless POV (MANUAL)","Top-down desk view of hands quickly typing on a glowing mechanical keyboard.","MANUAL","04_typing_manual.mp4","Mechanical keyboard clacks."
"Because exposure is directly proportional to opportunity. (~3s)","Animated Diagram (Manim)","A sleek animated graph showing an upward curve from Exposure to Opportunity.","[Python Manim Script in storyboard.md]","05_exposure_opportunity.mp4","Digital rising synth."
"And pretty evidently , the next major shift is the adaption of AI in a lot of domains. (~4s)","Stock B-Roll","Abstract glowing network nodes representing AI.","abstract ai glowing network nodes","06_ai_nodes.mp4","Data processing flutter."
"The entire way we work is fundamentally changing. We have to adapt to this change (~5s)","Screen Recording (MANUAL)","Record VS Code terminal running an AI script, apply a cinematic smooth zoom.","MANUAL","07_vscode_manual.mp4","Digital terminal blips."
"But here is the catch. (~1.5s)","Animated Diagram (Manim)","Bold text ""THE CATCH"" appearing with a glitch effect.","[Python Manim Script in storyboard.md]","08_the_catch.mp4","Sudden record scratch."
"The AI space is updating ten times faster than the internet ever did. (~3s)","Animated Diagram (Manim)","Two progress bars, one labeled ""Internet"" moving slow, one labeled ""AI"" moving 10x faster.","[Python Manim Script in storyboard.md]","09_ai_speed.mp4","Fast swoosh panning left to right."
"Hence getting yourself well equipped isn't just an opportunity —it’s a baseline necessity. (~3.5s)","Generative AI","A hyper-realistic cyberpunk survival kit floating in the air, neon lights.","A hyper-realistic cyberpunk survival kit floating in the air glowing with neon lights, vertical, highly detailed.","10_necessity_genai.jpg","Sci-fi scanner hum."
"That's why having a planned approach towards learning AI is the best bet. (~3s)","Animated Diagram (Manim)","A roadmap diagram unfolding step by step.","[Python Manim Script in storyboard.md]","11_roadmap.mp4","Clean checkmark dings."
"So That's my perspective, maybe not very fresh but I would love to hear yours. Let's discuss in the comments... (~6s)","Faceless POV (MANUAL)","A top-down view of a coffee mug being placed on a desk, panning over to an open notebook.","MANUAL","12_outro_manual.mp4","Ceramic mug clink, ambient coffee shop hum."
